NormT,undisturbed
1.481369455030772109e+00,2.213470483229603456e-04
1.485063638518840490e+00,2.211652819521106941e-04
1.488757822006908871e+00,2.212050175781528621e-04
1.492452005494977252e+00,2.213900985364454618e-04
1.496146188983045411e+00,2.212860425843119535e-04
1.499840372471113792e+00,2.212821942288289024e-04
1.503534555959182173e+00,2.212737277032184513e-04
1.507228739447250554e+00,2.211691220650604617e-04
1.510922922935318935e+00,2.213414036201731257e-04
1.514617106423387316e+00,2.212613430066759812e-04
1.518311289911455697e+00,2.212831029719401538e-04
1.522005473399524078e+00,2.212091260363897556e-04
1.525699656887592459e+00,2.212658106695928456e-04
1.529393840375660840e+00,2.210225825448686524e-04
1.533088023863729221e+00,2.208980280921174163e-04
1.536782207351797602e+00,2.207561387207272459e-04
1.540476390839865983e+00,2.207721442493532863e-04
1.544170574327934364e+00,2.205982208346618273e-04
1.547864757816002745e+00,2.205148489075568492e-04
1.551558941304071126e+00,2.204802589092424102e-04
1.555253124792139507e+00,2.206157087899352333e-04
1.558947308280207888e+00,2.203252406043267476e-04
1.562641491768276270e+00,2.201070513313183583e-04
1.566335675256344651e+00,2.199472458608793307e-04
1.570029858744412810e+00,2.198162111605631399e-04
1.573724042232481191e+00,2.197239126387345333e-04
1.577418319536317393e+00,2.195833189840604128e-04
1.581112596840153595e+00,2.195469832176896805e-04
1.584806874143989797e+00,2.194113145480773943e-04
1.588501151447825999e+00,2.194817868032267053e-04
1.592195428751661979e+00,2.193272084630275569e-04
1.595889706055498181e+00,2.192777855819764315e-04
1.599583983359334383e+00,2.190381473314651829e-04
1.603278260663170585e+00,2.189748435010022349e-04
1.606972537967006787e+00,2.190175089281870893e-04
1.610666815270842767e+00,2.188325356527378175e-04
1.614361092574678969e+00,2.186634658946858033e-04
1.618055369878515171e+00,2.188988896452775349e-04
1.621749647182351373e+00,2.190285864413461586e-04
1.625443924486187353e+00,2.189047587968013424e-04
1.629138201790023555e+00,2.188561368699755243e-04
1.632832479093859757e+00,2.187752284431625444e-04
1.636526756397695959e+00,2.190968688050032862e-04
1.640221033701532161e+00,2.191322232394989100e-04
1.643915311005368141e+00,2.190732603087658565e-04
1.647609588309204343e+00,2.188068782158894337e-04
1.651303865613040545e+00,2.189299678734085936e-04
1.654998142916876747e+00,2.190675356549644302e-04
1.658692420220712949e+00,2.192489515286073028e-04
1.662386697524548929e+00,2.192649788054998067e-04
1.666080974828385131e+00,2.192681073344656989e-04
1.669775252132221333e+00,2.194574989111949055e-04
1.673469529436057535e+00,2.194466595894583683e-04
1.677163806739893737e+00,2.195380643866764352e-04
1.680858084043729717e+00,2.197542297389823245e-04
1.684552361347565919e+00,2.198086548454599148e-04
1.688246638651402121e+00,2.198933165009846853e-04
1.691940915955238323e+00,2.201062915467112214e-04
1.695635193259074303e+00,2.203402347419672325e-04
1.699329470562910505e+00,2.204449771767284284e-04
1.703023747866746707e+00,2.205733188829269039e-04
1.706718025170582909e+00,2.206683059504255663e-04
1.710412302474419111e+00,2.207699103830725301e-04
1.714106579778255091e+00,2.208430157855224656e-04
1.717800857082091293e+00,2.209488719855221993e-04
1.721495134385927495e+00,2.209832069719162037e-04
1.725189411689763697e+00,2.212304291921984856e-04
1.728883688993599899e+00,2.211339779189123100e-04
1.732577966297435879e+00,2.213479354260953547e-04
1.736272243601272081e+00,2.214428901291723819e-04
1.739966520905108283e+00,2.213357659791578900e-04
1.743660798208944485e+00,2.215190918847450023e-04
1.747355075512780465e+00,2.217423335203986959e-04
1.751049352816616667e+00,2.220255228873241945e-04
1.754743630120452869e+00,2.220726356098967169e-04
1.758437907424289071e+00,2.223764033384788405e-04
1.762132184728125273e+00,2.224082764264454024e-04
1.765826462031961253e+00,2.222749406742737248e-04
1.769520739335797455e+00,2.224852791270435224e-04
1.773215016639633657e+00,2.223643979376181202e-04
1.776909293943469859e+00,2.224319564617541569e-04
1.780603571247306061e+00,2.226504126522188640e-04
1.784297848551142041e+00,2.222599495557558437e-04
1.787992125854978243e+00,2.220981095442560178e-04
1.791686403158814445e+00,2.220097994228381296e-04
1.795380680462650647e+00,2.219133061655095449e-04
1.799074957766486627e+00,2.219540342351734895e-04
1.802769235070322829e+00,2.218634256318054491e-04
1.806463512374159031e+00,2.220747588746979737e-04
1.810157789677995233e+00,2.219946767034227785e-04
1.813852066981831435e+00,2.221859481084766444e-04
1.817546344285667415e+00,2.221044149442751611e-04
1.821240621589503617e+00,2.222323595154699076e-04
1.824934898893339819e+00,2.221909096263769464e-04
1.828629176197176021e+00,2.222201548802466183e-04
1.832323453501012223e+00,2.220566049601431133e-04
1.836017730804848203e+00,2.217338889865909650e-04
1.839712008108684405e+00,2.216870266316946323e-04
1.843406285412520607e+00,2.218746943617976844e-04
1.847100562716356809e+00,2.217136717424592746e-04
1.850794840020193011e+00,2.216213080906601052e-04
1.854489117324028991e+00,2.217720439895857544e-04
1.858183394627865193e+00,2.215390286213096216e-04
1.861877671931701395e+00,2.215569134545677954e-04
1.865571949235537597e+00,2.216201431010824795e-04
1.869266226539373577e+00,2.213473119949885672e-04
1.872960503843209779e+00,2.212191595852594603e-04
1.876654781147045981e+00,2.213611342038229919e-04
1.880349058450882183e+00,2.214496358190752600e-04
1.884043335754718385e+00,2.213271526822079178e-04
1.887737613058554365e+00,2.213459939078035960e-04
1.891431890362390567e+00,2.213424751944675385e-04
1.895126167666226769e+00,2.213723884257401745e-04
1.898820444970062971e+00,2.214195676145691593e-04
1.902514722273899173e+00,2.214417800710248476e-04
1.906208999577735153e+00,2.216000389762969546e-04
1.909903276881571355e+00,2.215179703024225432e-04
1.913597554185407557e+00,2.214583187372190791e-04
1.917291831489243759e+00,2.214049710736506321e-04
1.920986108793079739e+00,2.215696894893815698e-04
1.924680386096915941e+00,2.216495870442506723e-04
1.928374663400752143e+00,2.214490612703746790e-04
1.932068940704588345e+00,2.215514956447284733e-04
1.935763218008424547e+00,2.214955930584228659e-04
1.939457495312260527e+00,2.213890282275433267e-04
1.943151772616096729e+00,2.214496113359040459e-04
1.946846049919932931e+00,2.216009043464998052e-04
1.950540327223769133e+00,2.213869304357032669e-04
1.954234604527605335e+00,2.211569016158998816e-04
1.957928881831441315e+00,2.211771086418942006e-04
1.961623159135277517e+00,2.212981985419645609e-04
1.965317436439113719e+00,2.212869421756937817e-04
1.969011713742949921e+00,2.213267178350971514e-04
1.972705991046786123e+00,2.215698119133205574e-04
1.976400268350622103e+00,2.212887272428887796e-04
1.980094545654458305e+00,2.214777145197545415e-04
1.983788822958294507e+00,2.214802652808467421e-04
1.987483100262130709e+00,2.213123370996070832e-04
1.991177377565966689e+00,2.209211028360304977e-04
1.994871654869802891e+00,2.208901232212466092e-04
