NormT,saffman
1.381626500852926043e+00,4.181222103010607052e-03
1.385320684340994424e+00,4.172629628428444447e-03
1.389014867829062805e+00,4.162119258482633449e-03
1.392709051317131186e+00,4.148327733426103968e-03
1.396403234805199567e+00,4.156926575522306051e-03
1.400097418293267948e+00,4.170921077481800666e-03
1.403791601781336329e+00,4.169743173809578769e-03
1.407485785269404710e+00,4.181019808676060372e-03
1.411179968757473091e+00,4.180039513498816361e-03
1.414874152245541472e+00,4.181897023341422936e-03
1.418568335733609853e+00,4.175114091587578402e-03
1.422262519221678012e+00,4.170811659169911326e-03
1.425956702709746393e+00,4.171067324943566502e-03
1.429650886197814774e+00,4.181398161812391844e-03
1.433345069685883155e+00,4.168356742259684937e-03
1.437039253173951536e+00,4.163058765285168432e-03
1.440733436662019917e+00,4.164358272071912691e-03
1.444427620150088298e+00,4.170983190900376739e-03
1.448121803638156679e+00,4.178619041308734815e-03
1.451815987126225060e+00,4.187882054168279647e-03
1.455510170614293441e+00,4.180906259069218193e-03
1.459204354102361822e+00,4.179720052523630894e-03
1.462898537590430204e+00,4.157018069351510817e-03
1.466592721078498585e+00,4.145549616685345259e-03
1.470286904566566966e+00,4.130770180605610083e-03
1.473981088054635347e+00,4.140029169940761047e-03
1.477675271542703728e+00,4.146312197744728666e-03
1.481369455030772109e+00,4.159661931805393523e-03
1.485063638518840490e+00,4.150412340835111027e-03
1.488757822006908871e+00,4.157920498453658402e-03
1.492452005494977252e+00,4.147366074892223919e-03
1.496146188983045411e+00,4.153494733361472006e-03
1.499840372471113792e+00,4.172933438359902394e-03
1.503534555959182173e+00,4.181344799612401499e-03
1.507228739447250554e+00,4.185229378311792862e-03
1.510922922935318935e+00,4.187721674785437748e-03
1.514617106423387316e+00,4.181629508791960895e-03
1.518311289911455697e+00,4.174052550135321990e-03
1.522005473399524078e+00,4.179285739797454664e-03
1.525699656887592459e+00,4.180258087696692854e-03
1.529393840375660840e+00,4.172592315042198199e-03
1.533088023863729221e+00,4.171447196288789912e-03
1.536782207351797602e+00,4.160800914463376639e-03
1.540476390839865983e+00,4.153005219305534214e-03
1.544170574327934364e+00,4.152736761841690181e-03
1.547864757816002745e+00,4.167687898470990096e-03
1.551558941304071126e+00,4.173621447261497558e-03
1.555253124792139507e+00,4.175149954606587749e-03
1.558947308280207888e+00,4.177562014678243112e-03
1.562641491768276270e+00,4.168003478833916080e-03
1.566335675256344651e+00,4.180767962309367772e-03
1.570029858744412810e+00,4.182298818226346145e-03
1.573724042232481191e+00,4.172615614401550647e-03
1.577418319536317393e+00,4.173128818372976064e-03
1.581112596840153595e+00,4.174979887938805485e-03
1.584806874143989797e+00,4.189570955162646992e-03
1.588501151447825999e+00,4.193389818022329185e-03
1.592195428751661979e+00,4.205579633757837096e-03
1.595889706055498181e+00,4.194844394282080599e-03
1.599583983359334383e+00,4.204548865625937042e-03
1.603278260663170585e+00,4.193860144551630857e-03
1.606972537967006787e+00,4.197892834890666093e-03
1.610666815270842767e+00,4.199376294842933378e-03
1.614361092574678969e+00,4.201957866921704650e-03
1.618055369878515171e+00,4.200891398213460470e-03
1.621749647182351373e+00,4.194322410746448467e-03
1.625443924486187353e+00,4.193730932731410885e-03
1.629138201790023555e+00,4.182836147894089009e-03
1.632832479093859757e+00,4.186873488779751726e-03
1.636526756397695959e+00,4.190168136790779416e-03
1.640221033701532161e+00,4.213690352107326773e-03
1.643915311005368141e+00,4.215985775597319227e-03
1.647609588309204343e+00,4.217679359519929672e-03
1.651303865613040545e+00,4.227759341441992072e-03
1.654998142916876747e+00,4.248519608091181655e-03
1.658692420220712949e+00,4.242372813192342787e-03
1.662386697524548929e+00,4.251411497787912531e-03
1.666080974828385131e+00,4.252085863258966980e-03
1.669775252132221333e+00,4.251450004365334850e-03
1.673469529436057535e+00,4.244821154794437001e-03
1.677163806739893737e+00,4.236835394869845582e-03
1.680858084043729717e+00,4.221644278592375822e-03
1.684552361347565919e+00,4.217029430001451723e-03
1.688246638651402121e+00,4.214663277752779547e-03
1.691940915955238323e+00,4.201973394712679548e-03
1.695635193259074303e+00,4.201111189714860569e-03
1.699329470562910505e+00,4.213603852618950929e-03
1.703023747866746707e+00,4.206836578492884060e-03
1.706718025170582909e+00,4.198118173475384914e-03
1.710412302474419111e+00,4.203643390868158983e-03
1.714106579778255091e+00,4.192086274886924237e-03
1.717800857082091293e+00,4.192627049367326185e-03
1.721495134385927495e+00,4.195023660674054508e-03
1.725189411689763697e+00,4.184276744370960498e-03
1.728883688993599899e+00,4.174709874043217549e-03
1.732577966297435879e+00,4.179574727072182978e-03
1.736272243601272081e+00,4.189574210231556718e-03
1.739966520905108283e+00,4.187057997505404770e-03
1.743660798208944485e+00,4.181645359871473226e-03
1.747355075512780465e+00,4.171181883961505923e-03
1.751049352816616667e+00,4.159470702630023789e-03
1.754743630120452869e+00,4.157025268741718071e-03
1.758437907424289071e+00,4.173535035716338659e-03
1.762132184728125273e+00,4.177056324061186911e-03
1.765826462031961253e+00,4.171880112660400312e-03
1.769520739335797455e+00,4.194614455913627318e-03
1.773215016639633657e+00,4.186976953729376096e-03
1.776909293943469859e+00,4.206831718346341897e-03
1.780603571247306061e+00,4.203255744412934432e-03
1.784297848551142041e+00,4.203544462193201277e-03
1.787992125854978243e+00,4.214241791732392835e-03
1.791686403158814445e+00,4.202098988189911441e-03
1.795380680462650647e+00,4.195771921959043013e-03
1.799074957766486627e+00,4.193663134571935444e-03
1.802769235070322829e+00,4.189379186665848596e-03
1.806463512374159031e+00,4.209632963144267943e-03
1.810157789677995233e+00,4.206854098633822786e-03
1.813852066981831435e+00,4.219293469591716035e-03
1.817546344285667415e+00,4.219524098932886727e-03
1.821240621589503617e+00,4.245653967072575939e-03
1.824934898893339819e+00,4.249132952112389880e-03
1.828629176197176021e+00,4.256601115712467000e-03
1.832323453501012223e+00,4.259711210304447694e-03
1.836017730804848203e+00,4.254179801442280889e-03
1.839712008108684405e+00,4.236896050032718831e-03
1.843406285412520607e+00,4.252180441256333925e-03
1.847100562716356809e+00,4.238121587608224307e-03
1.850794840020193011e+00,4.234077586787550126e-03
1.854489117324028991e+00,4.231980449071916575e-03
1.858183394627865193e+00,4.232548123077478804e-03
1.861877671931701395e+00,4.224326306970407029e-03
1.865571949235537597e+00,4.228486521244937887e-03
1.869266226539373577e+00,4.222064689702925179e-03
1.872960503843209779e+00,4.214361197728946733e-03
1.876654781147045981e+00,4.202482848195550694e-03
1.880349058450882183e+00,4.211662149334344067e-03
1.884043335754718385e+00,4.198370487272277095e-03
1.887737613058554365e+00,4.203868143037805052e-03
1.891431890362390567e+00,4.208007702364760690e-03
1.895126167666226769e+00,4.207464320485600033e-03
1.898820444970062971e+00,4.201976350272270018e-03
1.902514722273899173e+00,4.191725710466179255e-03
1.906208999577735153e+00,4.191519952875523598e-03
1.909903276881571355e+00,4.171957134411197025e-03
1.913597554185407557e+00,4.173129666733706687e-03
1.917291831489243759e+00,4.178155999058944317e-03
1.920986108793079739e+00,4.180758729228687548e-03
1.924680386096915941e+00,4.182631862205891775e-03
1.928374663400752143e+00,4.162244899761916722e-03
1.932068940704588345e+00,4.156005104029646818e-03
1.935763218008424547e+00,4.137218624159018539e-03
1.939457495312260527e+00,4.157343083973979656e-03
1.943151772616096729e+00,4.162641913454735373e-03
1.946846049919932931e+00,4.153250216104622736e-03
1.950540327223769133e+00,4.160958394807441271e-03
1.954234604527605335e+00,4.160942299668046393e-03
1.957928881831441315e+00,4.169872924589132501e-03
1.961623159135277517e+00,4.166883917282233375e-03
1.965317436439113719e+00,4.170105397190980098e-03
1.969011713742949921e+00,4.184338891928167728e-03
1.972705991046786123e+00,4.188540625307357254e-03
1.976400268350622103e+00,4.195035800301329283e-03
1.980094545654458305e+00,4.201364753148736919e-03
1.983788822958294507e+00,4.202451125907606666e-03
1.987483100262130709e+00,4.215873023193630366e-03
1.991177377565966689e+00,4.229510587365936831e-03
1.994871654869802891e+00,4.214262137711980577e-03
