NormT,Faxen
1.566335675256344651e+00,4.578253008450547482e-06
1.570029858744412810e+00,4.575076767366676898e-06
1.573724042232481191e+00,4.567968588123865136e-06
1.577418319536317393e+00,4.595674679939025857e-06
1.581112596840153595e+00,4.592015297291037285e-06
1.584806874143989797e+00,4.586131608116365713e-06
1.588501151447825999e+00,4.566094626074410136e-06
1.592195428751661979e+00,4.554940888660428506e-06
1.595889706055498181e+00,4.550467549654253978e-06
1.599583983359334383e+00,4.545673890140523926e-06
1.603278260663170585e+00,4.542692497449451703e-06
1.606972537967006787e+00,4.551257837395694188e-06
1.610666815270842767e+00,4.553757586480801748e-06
1.614361092574678969e+00,4.553255993383475552e-06
1.618055369878515171e+00,4.551267744485766446e-06
1.621749647182351373e+00,4.571471315834411737e-06
1.625443924486187353e+00,4.574786861932786034e-06
1.629138201790023555e+00,4.580501750450643779e-06
1.632832479093859757e+00,4.575488463849024151e-06
1.636526756397695959e+00,4.576270046818432559e-06
1.640221033701532161e+00,4.574552505792956013e-06
1.643915311005368141e+00,4.553345683705965436e-06
1.647609588309204343e+00,4.540905909333013708e-06
1.651303865613040545e+00,4.539636881138633008e-06
1.654998142916876747e+00,4.548168427746311261e-06
1.658692420220712949e+00,4.542740477850196525e-06
1.662386697524548929e+00,4.556980765574552773e-06
1.666080974828385131e+00,4.567810230126139053e-06
1.669775252132221333e+00,4.580601895039655985e-06
1.673469529436057535e+00,4.595306740619103329e-06
1.677163806739893737e+00,4.603905868348890949e-06
1.680858084043729717e+00,4.607270343715727186e-06
1.684552361347565919e+00,4.596930501415643707e-06
1.688246638651402121e+00,4.605383011630198740e-06
1.691940915955238323e+00,4.606252632270244553e-06
1.695635193259074303e+00,4.595822290480821929e-06
1.699329470562910505e+00,4.581944924993081790e-06
1.703023747866746707e+00,4.575619897495014885e-06
1.706718025170582909e+00,4.575469689710199134e-06
1.710412302474419111e+00,4.589331192871469753e-06
1.714106579778255091e+00,4.586747337177416704e-06
1.717800857082091293e+00,4.568867599456215639e-06
1.721495134385927495e+00,4.572586143064031756e-06
1.725189411689763697e+00,4.564519690895014975e-06
1.728883688993599899e+00,4.587175246097774798e-06
1.732577966297435879e+00,4.605094789017242004e-06
1.736272243601272081e+00,4.597344154318880679e-06
1.739966520905108283e+00,4.577967640277841603e-06
1.743660798208944485e+00,4.593986392300624863e-06
1.747355075512780465e+00,4.605723649618281886e-06
1.751049352816616667e+00,4.599176508906851961e-06
1.754743630120452869e+00,4.596224488856280039e-06
1.758437907424289071e+00,4.610608721326140014e-06
1.762132184728125273e+00,4.609045876113161290e-06
1.765826462031961253e+00,4.612347987965572226e-06
1.769520739335797455e+00,4.607381595025026829e-06
1.773215016639633657e+00,4.598002815801292751e-06
1.776909293943469859e+00,4.591030830397338910e-06
